NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
11,59001A,118.68560254,3.514e-05,0.0,183.96,32.8722,213.0873,0.1448707,219.2896,129.3277,11.8969547,48607,Unknown,Unknown
12,59001B,118.70426225,7.84e-06,0.0,46.672,32.897,245.1261,0.1650138,71.3376,305.8743,11.47697716,48367,Unknown,Unknown
20,59007A,118.8532104,1.098e-05,0.0,44.05,33.3473,317.2811,0.1643953,354.329,4.059,11.60607223,43643,Unknown,Unknown
22,59009A,118.89478947,0.00010074,0.0,44.662,50.2752,331.0479,0.0093385,267.9308,91.0952,15.18298277,73719,Unknown,Unknown
29,60002B,118.61641859,1.388e-05,0.0,21.902,48.3778,193.5836,0.0023114,283.263,76.5706,14.77924727,48079,Unknown,Unknown
45,60007A,118.82256194,8.85e-06,0.0,24.599,66.6958,15.8302,0.0242543,101.9696,260.8704,14.35502529,32056,Unknown,Unknown
46,60007B,118.72975894,2.083e-05,0.0,39.597,66.6891,277.2865,0.0204234,245.5906,112.3773,14.53886428,39673,Unknown,Unknown
47,60007C,118.86067511,1.372e-05,0.0,32.367,66.6643,79.6183,0.0212726,81.9055,280.6123,14.44642707,39094,Unknown,Unknown
50,60009B,118.70218057,-1.2e-06,0.0,-33.422,47.2345,8.2573,0.0113162,219.6972,139.5492,12.20154577,88709,Unknown,Unknown
51,60009C,118.74850727,-3.3e-07,0.0,51.165,47.2116,251.7654,0.0107204,45.2533,315.6921,12.18358987,88064,Unknown,Unknown
53,60009E,118.8582449,-2.6e-07,0.0,57.041,47.2758,180.3978,0.0099864,290.1133,68.8933,12.17382029,88495,Unknown,Unknown
58,60013A,118.94245534,1.11e-06,0.0,4.3133,28.3272,81.6431,0.016479,17.6971,342.9232,13.46409424,17819,Unknown,Unknown
59,60013B,118.23620276,1.57e-06,0.0,9.5221,28.2471,95.6606,0.018905,72.0745,290.0316,13.53135882,18692,Unknown,Unknown
82,61004B,118.83833521,9.6e-06,0.0,82.544,38.8539,98.5484,0.1166596,20.5304,343.8542,12.27604655,2587,Unknown,Unknown
85,61004C,118.90647916,0.00545827,0.0,1140.0,38.6411,23.0814,0.0050498,154.869,205.4566,15.41360231,18733,Unknown,Unknown
107,61013A,118.46921391,7.903e-05,0.0,96.491,28.788,182.7654,0.0505492,222.9528,133.0498,14.1937759,21746,Unknown,Unknown
115,60002D,118.94630011,5.756e-05,0.0,54.138,48.1636,333.4686,0.002804,196.043,163.9601,14.94741894,45609,Unknown,Unknown
116,61015A,118.69907786,1.2e-06,0.0,14.982,66.8093,184.9658,0.0078232,208.5529,151.1256,13.92231361,23900,Unknown,Unknown
