NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
274,62010D,112.72497067,-4.6e-07,0.0,-1003.8,86.6701,34.406,0.0353545,323.2049,34.5057,9.39391192,16130,Unknown,Unknown
309,62025A,112.93817716,1.308e-05,0.0,24.566,58.0904,323.8032,0.0189352,48.0619,313.6376,14.5994052,32044,Unknown,Unknown
320,61015CW,112.85085285,1.179e-05,0.0,45.059,66.9059,55.2901,0.013651,344.0019,15.6788,14.29148373,30828,Unknown,Unknown
323,61015CZ,112.92386264,1.129e-05,0.0,59.909,66.8376,88.1118,0.0073893,31.0996,329.4438,14.15821112,26896,Unknown,Unknown
324,61015DA,112.72340903,7.55e-06,0.0,43.869,66.8666,13.6029,0.0070848,333.6068,26.1419,14.12807809,26366,Unknown,Unknown
325,61015DB,112.96165694,2.009e-05,0.0,92.39,66.9134,100.3084,0.0060548,343.1013,16.8064,14.2219454,27338,Unknown,Unknown
327,61015DD,112.94901703,3.1e-06,0.0,29.658,66.5442,344.7939,0.0107784,42.1458,318.7843,13.90652576,22830,Unknown,Unknown
330,61015DG,112.86785998,1.438e-05,0.0,91.694,66.9788,269.3185,0.0044131,69.7642,290.8183,14.05926734,23760,Unknown,Unknown
333,61015DK,112.83431588,0.00013894,0.0,191.49,66.702,259.2085,0.0045404,259.6155,99.9848,14.77675176,32655,Unknown,Unknown
336,61015DN,112.96711515,2.01e-06,0.0,30.826,67.0285,93.9307,0.0071861,74.9521,318.6237,13.69067032,18167,Unknown,Unknown
337,61015DP,112.85993702,6.35e-06,0.0,69.922,67.0088,195.1297,0.0103842,206.165,153.4156,13.76042824,18694,Unknown,Unknown
340,62029A,112.78003686,-8e-08,0.0,26.298,44.8042,22.2054,0.2423589,26.5847,5.7895,9.12889266,9405,Unknown,Unknown
341,62029B,112.9221102,-6e-08,0.0,25.884,44.7898,280.1217,0.2422405,142.574,11.2867,9.14313235,9668,Unknown,Unknown
351,61015DR,112.64285239,0.00014695,0.0,208.64,66.7437,198.3645,0.0032852,288.802,70.954,14.76726707,31544,Unknown,Unknown
355,61015DV,112.70077183,5.4e-06,0.0,104.12,67.2258,204.6834,0.0237646,145.0309,17.439,13.33644315,9294,Unknown,Unknown
397,62047A,112.89160543,3.089e-05,0.0,30.55,58.3027,85.6841,0.0004905,5.5737,354.5364,14.94395843,34946,Unknown,Unknown
403,61015EC,112.72321147,6.3e-07,0.0,12.932,66.8416,214.5727,0.001498,117.8562,33.6341,13.81144642,21308,Unknown,Unknown
404,61015ED,112.82909911,3.43e-06,0.0,75.16,66.4685,265.485,0.0553978,36.1824,327.5378,12.92131596,98896,Unknown,Unknown
405,61015EE,112.84204891,1.52e-06,0.0,26.343,66.8932,64.2021,0.0078607,109.8377,279.1581,13.66533102,17471,Unknown,Unknown
406,61015EF,112.8401741,8.25e-06,0.0,98.198,66.7771,264.2246,0.0124851,316.2252,196.1898,13.69107792,16364,Unknown,Unknown
408,61015EH,112.9658194,6.35e-06,0.0,71.031,66.7882,32.1493,0.0060803,41.0451,36.2637,13.76765806,24784,Unknown,Unknown
410,61015EK,112.97744396,7.6e-07,0.0,15.367,66.6935,324.7383,0.0021553,281.409,191.4328,13.76519529,20223,Unknown,Unknown
414,61015EP,112.78354793,1.17e-06,0.0,19.309,66.4457,45.0479,0.0047006,2.0599,24.1751,13.77503527,20412,Unknown,Unknown
424,62049A,112.68223044,1.64e-06,0.0,17.76,80.4653,312.4768,0.0022351,241.6953,118.1938,13.6950275,12355,Unknown,Unknown
426,62049B,112.67979024,1.09e-06,0.0,11.609,80.4702,323.4462,0.0017193,231.6644,162.1154,13.6870789,12260,Unknown,Unknown
446,62060A,112.92081485,-1.05e-06,0.0,3.98,50.1417,74.2361,0.0070035,208.0328,172.6003,13.35345622,4755,Unknown,Unknown
