NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
12639,81074D,121.90955417,2e-08,0.0,11.617,74.0356,49.6985,0.001436,81.2993,344.3276,12.52826598,44,Unknown,Unknown
12640,81074E,121.78672756,-2e-07,0.0,-2.5721,74.03,127.3426,0.0004265,166.5936,6.3397,12.50879481,99733,Unknown,Unknown
12642,81074G,121.84533549,1e-07,0.0,15.834,74.0328,255.1754,0.0036402,265.8181,210.0793,12.56711253,663,Unknown,Unknown
12643,81074H,121.59418524,0.0,0.0,9.4336,74.0317,172.4394,0.0045992,165.1952,309.5007,12.58763175,987,Unknown,Unknown
12647,76077EA,121.92948296,7.07e-06,0.0,887.65,100.6776,277.0088,0.0379588,235.4999,284.9946,11.86409939,3959,Unknown,Unknown
12664,81053U,121.79133639,6.69e-06,0.0,68.313,82.8942,217.7233,0.0076204,344.8189,131.9734,13.74040681,18599,Unknown,Unknown
12677,81076A,121.44665477,-2.78e-06,0.0,0.0,8.8652,307.1424,0.0009333,320.6015,62.2136,0.99554221,12812,HIMAWARI-2 (GMS-2),Gpz Plus
12696,81053AQ,121.60868138,7.63e-06,0.0,105.25,83.0758,195.8316,0.0147024,245.5963,238.1507,13.52939284,15224,Unknown,Unknown
12705,81053AZ,121.66858159,2.136e-05,0.0,134.22,82.8898,188.3642,0.0024034,331.0091,141.5358,14.0385968,21654,Unknown,Unknown
12711,81053BF,121.77571309,6.61e-06,0.0,67.066,82.9619,323.0496,0.0062738,206.1206,218.3933,13.74741805,18703,Unknown,Unknown
12723,81053BQ,121.72682909,0.00020233,0.0,381.46,82.9428,194.0297,0.0005925,124.5128,235.6637,14.64406403,25154,Unknown,Unknown
12726,81053BT,121.84369608,2.47e-05,0.0,156.26,82.944,280.8566,0.0040984,241.6618,232.6795,14.03261506,21746,Unknown,Unknown
