NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
11,59001A,113.73468228,3.494e-05,0.0,184.03,32.8683,231.801,0.1448215,191.1472,165.3396,11.89656979,48548,Unknown,Unknown
12,59001B,113.74295088,6.49e-06,0.0,38.663,32.8976,262.5877,0.1650371,45.1008,327.2263,11.47688955,48310,Unknown,Unknown
16,58002A,112.99636039,1.26e-06,0.0,17.973,34.2614,80.2475,0.2022234,146.131,228.6631,10.49570622,64476,Unknown,Unknown
20,59007A,113.68824952,9.99e-06,0.0,39.421,33.3515,335.8364,0.1644358,326.7027,23.9893,11.60595423,43583,Unknown,Unknown
22,59009A,113.89263221,0.00010711,0.0,47.558,50.278,355.3691,0.0093324,248.172,110.9289,15.18178868,73643,Unknown,Unknown
29,60002B,113.68102385,1.417e-05,0.0,22.313,48.3782,217.0066,0.0023136,262.4695,97.359,14.77906794,48006,Unknown,Unknown
45,60007A,113.73648939,7.95e-06,0.0,22.366,66.6956,29.27,0.0242685,105.7988,257.0015,14.35492127,31983,Unknown,Unknown
46,60007B,113.77675593,1.613e-05,0.0,31.152,66.688,290.7705,0.020447,249.1778,108.7327,14.53864252,39601,Unknown,Unknown
47,60007C,113.66832192,1.2e-05,0.0,28.622,66.6635,93.558,0.0212688,85.8468,276.6913,14.44627012,39019,Unknown,Unknown
50,60009B,113.78816917,-5.5e-07,0.0,27.777,47.234,23.5086,0.0113088,205.0566,154.4706,12.20154691,88649,Unknown,Unknown
51,60009C,113.74510745,-7.8e-07,0.0,7.2846,47.2118,267.2474,0.0107467,30.3681,330.3277,12.18358615,88003,Unknown,Unknown
58,60013A,113.6778801,1.26e-06,0.0,6.3088,28.3264,108.3566,0.0164789,334.1223,25.1157,13.46409035,17748,Unknown,Unknown
59,60013B,113.73573894,1.5e-06,0.0,8.6482,28.2465,118.7861,0.018901,34.2998,326.9596,13.53135115,18631,Unknown,Unknown
82,61004B,113.7107979,6.95e-06,0.0,60.512,38.8544,117.5868,0.1166883,355.7058,3.4296,12.27593089,2524,Unknown,Unknown
115,60002D,113.73226391,4.621e-05,0.0,44.001,48.1646,358.9816,0.0027753,172.5276,187.606,14.94674325,45531,Unknown,Unknown
116,61015A,113.67046042,1.14e-06,0.0,14.53,66.8097,197.2675,0.0078553,211.911,147.72,13.92229342,23830,Unknown,Unknown
117,61015B,113.94139026,3.8e-07,0.0,9.0242,66.8122,307.1638,0.0083024,234.2178,125.1163,13.90128095,23578,Unknown,Unknown
118,61015C,113.08981155,1.94e-06,0.0,17.181,66.7657,28.314,0.0085297,212.2406,147.3448,14.02545505,25722,Unknown,Unknown
119,61015D,113.11030315,1.21e-05,0.0,50.661,66.7281,40.8018,0.010362,208.5329,151.0073,14.2652648,29838,Unknown,Unknown
120,61015E,113.92263931,1.87e-05,0.0,71.846,66.7046,86.7949,0.0118689,306.6289,52.3939,14.28821222,28841,Unknown,Unknown
